"filename", "language", "JavaScript", "CSS", "JavaScript JSX", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\README.md", "Markdown", 0, 0, 0, 0, 0, -38, 0, -33, -71
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\package-lock.json", "JSON", 0, 0, 0, -19676, 0, 0, 0, -1, -19677
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\package.json", "JSON", 0, 0, 0, -61, 0, 0, 0, -1, -62
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\public\index.html", "HTML", 0, 0, 0, 0, -16, 0, 0, -3, -19
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\public\manifest.json", "JSON", 0, 0, 0, -15, 0, 0, 0, -1, -16
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\App.js", "JavaScript", -92, 0, 0, 0, 0, 0, 0, -3, -95
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\AddNewProduct.jsx", "JavaScript JSX", 0, 0, -231, 0, 0, 0, -1, -12, -244
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\Allergies.jsx", "JavaScript JSX", 0, 0, -71, 0, 0, 0, 0, -7, -78
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\AnalyticsTab.jsx", "JavaScript JSX", 0, 0, -171, 0, 0, 0, -22, -28, -221
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\CartItem.jsx", "JavaScript JSX", 0, 0, -55, 0, 0, 0, 0, -3, -58
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\CartOrderSummary.jsx", "JavaScript JSX", 0, 0, -43, 0, 0, 0, 0, -4, -47
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\CheckoutItem.jsx", "JavaScript JSX", 0, 0, -34, 0, 0, 0, -14, -3, -51
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\CheckoutOrderSummary.jsx", "JavaScript JSX", 0, 0, -112, 0, 0, 0, 0, -7, -119
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\CompletedOrdersTab.jsx", "JavaScript JSX", 0, 0, -46, 0, 0, 0, 0, -3, -49
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\ConfirmRemovalAlert.jsx", "JavaScript JSX", 0, 0, -38, 0, 0, 0, 0, -5, -43
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\Footer.jsx", "JavaScript JSX", 0, 0, -48, 0, 0, 0, 0, -2, -50
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, -224, 0, 0, 0, 0, -15, -239
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\Notifications.jsx", "JavaScript JSX", 0, 0, -121, 0, 0, 0, 0, -11, -132
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\NotificationsTab.jsx", "JavaScript JSX", 0, 0, -4, 0, 0, 0, 0, -2, -6
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\OrderDetails.jsx", "JavaScript JSX", 0, 0, -196, 0, 0, 0, -5, -13, -214
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\OrderHistoryTab.jsx", "JavaScript JSX", 0, 0, -62, 0, 0, 0, 0, -5, -67
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\OrdersTab.jsx", "JavaScript JSX", 0, 0, -95, 0, 0, 0, 0, -7, -102
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\PasswordTextField.jsx", "JavaScript JSX", 0, 0, -25, 0, 0, 0, 0, -2, -27
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\PrintButton.jsx", "JavaScript JSX", 0, 0, -7, 0, 0, 0, 0, -3, -10
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\ProductCard.jsx", "JavaScript JSX", 0, 0, -110, 0, 0, 0, -5, -6, -121
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\ProductTableItem.jsx", "JavaScript JSX", 0, 0, -222, 0, 0, 0, 0, -8, -230
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\ProductsTab.jsx", "JavaScript JSX", 0, 0, -115, 0, 0, 0, 0, -6, -121
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\ProtectedAdminRoute.jsx", "JavaScript JSX", 0, 0, -7, 0, 0, 0, 0, -3, -10
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, -7, 0, 0, 0, 0, -3, -10
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\QRcodeGenerator.jsx", "JavaScript JSX", 0, 0, -27, 0, 0, 0, 0, -5, -32
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\Socket.jsx", "JavaScript JSX", 0, 0, -49, 0, 0, 0, -1, -13, -63
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\TextField.jsx", "JavaScript JSX", 0, 0, -14, 0, 0, 0, 0, -2, -16
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\UsersTab.jsx", "JavaScript JSX", 0, 0, -156, 0, 0, 0, -1, -6, -163
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\index.css", "CSS", 0, -12, 0, 0, 0, 0, 0, -2, -14
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\index.js", "JavaScript", -14, 0, 0, 0, 0, 0, 0, -3, -17
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\products.js", "JavaScript", -137, 0, 0, 0, 0, 0, 0, -5, -142
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\actions\adminActions.js", "JavaScript", -292, 0, 0, 0, 0, 0, 0, -35, -327
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\actions\cartActions.js", "JavaScript", -164, 0, 0, 0, 0, 0, 0, -14, -178
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\actions\orderActions.js", "JavaScript", -41, 0, 0, 0, 0, 0, 0, -7, -48
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\actions\productActions.js", "JavaScript", -39, 0, 0, 0, 0, 0, 0, -4, -43
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\actions\userActions.js", "JavaScript", -99, 0, 0, 0, 0, 0, 0, -15, -114
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\slices\admin.js", "JavaScript", -141, 0, 0, 0, 0, 0, 0, -8, -149
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\slices\cart.js", "JavaScript", -82, 0, 0, 0, 0, 0, -14, -12, -108
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\slices\order.js", "JavaScript", -44, 0, 0, 0, 0, 0, 0, -6, -50
